designate [`dezigneit]
extinguish [iks′tiŋgwiʃ]
assimilate [ә′simileit]
denounce [di′nauns]
fascinate [`fæsineit]
exemplify [ig′zemplifai]
handicap [`hændikæp]
manipulate [mә′nipjuleit]
characterize [`kæriktәraiz]
deteriorate [di′tiәriәreit]
terminate [`tә:mineit]
glare [glɛә]
descendant [di′sendәnt]
anniversary [,æni′vә:sәri]
trifle [`traifl]
depression [di′preʃәn]
ignorance [`ignәrәns]
astronomy [әs′trɔnәmi]
exposition [ekspә′ziʃәn]
execution [eksi′kju:ʃәn]
remainder [ri′meindә]
sociology [sәusi′ɔlәdʒi]
deficiency [di′fiʃәnsi]
clearance [`kliәrәns]
endurance [in′djuәrәns]
imperative [im′perәtiv]
economics [i:kә′nɔmiks]
fellowship [`felәuʃip]
drought [draut]
implement [`implimәnt]
disturbance [dis′tә:bәns]
electronics [ilek′trɔniks]
electrician [ilek′triʃәn]
attendance [ә′tendәns]
magnitude [`mægnitju:d]
biography [bai′ɔgrәfi]
refreshment [ri′freʃmәnt]
assumption [ә′sΛmpʃәn]
justification [dʒΛstifi′keiʃәn]
breakdown [`breikdaun]
expenditure [iks′penditʃ]
beforehand [bi′fɔ:hænd]
seemingly [`si:miŋli]
disastrous [di′za:strәs]
reciprocal [ri′siprәkәl]
diplomatic [diplә′mætik]
extravagant [iks′trævigәnt]
authoritative [ɔ:′θɔritәtiv]
destructive [dis′trΛktiv]
anonymous [ә′nɔnimәs]
rectangular [rek′tæŋgjulә]
stationary [`steiʃnәri]
articulate [a:′tikjulit]
supplementary [sΛpli′mentәri]
